Energy	All	Alpha	Beta	Gama	Other
639	0	0	0	0	0
640	1	1	0	0	0
641	0	0	0	0	0
642	0	0	0	0	0
643	1	0	1	0	0
644	1	1	0	0	0
645	0	0	0	0	0
646	0	0	0	0	0
647	1	1	0	0	0
648	0	0	0	0	0
649	0	0	0	0	0
650	0	0	0	0	0
651	0	0	0	0	0
652	0	0	0	0	0
653	1	1	0	0	0
654	0	0	0	0	0
655	0	0	0	0	0
656	1	1	0	0	0
657	0	0	0	0	0
658	0	0	0	0	0
659	1	1	0	0	0
660	0	0	0	0	0
661	0	0	0	0	0
662	0	0	0	0	0
663	1	1	0	0	0
664	1	1	0	0	0
665	0	0	0	0	0
666	1	1	0	0	0
667	0	0	0	0	0
668	0	0	0	0	0
669	0	0	0	0	0
670	0	0	0	0	0
671	1	1	0	0	0
672	2	1	1	0	0
673	1	1	0	0	0
674	0	0	0	0	0
675	2	2	0	0	0
676	0	0	0	0	0
677	1	1	0	0	0
678	0	0	0	0	0
679	0	0	0	0	0
680	2	2	0	0	0
681	1	0	1	0	0
682	1	0	1	0	0
683	0	0	0	0	0
684	0	0	0	0	0
685	0	0	0	0	0
686	0	0	0	0	0
687	0	0	0	0	0
688	0	0	0	0	0
689	0	0	0	0	0
690	2	2	0	0	0
691	0	0	0	0	0
692	1	0	1	0	0
693	0	0	0	0	0
694	1	1	0	0	0
695	0	0	0	0	0
696	0	0	0	0	0
697	0	0	0	0	0
698	1	1	0	0	0
699	1	0	1	0	0
700	0	0	0	0	0
701	0	0	0	0	0
702	0	0	0	0	0
703	0	0	0	0	0
704	1	1	0	0	0
705	0	0	0	0	0
706	0	0	0	0	0
707	0	0	0	0	0
708	0	0	0	0	0
709	1	1	0	0	0
710	1	1	0	0	0
711	0	0	0	0	0
712	0	0	0	0	0
713	0	0	0	0	0
714	1	1	0	0	0
715	0	0	0	0	0
716	0	0	0	0	0
717	0	0	0	0	0
718	0	0	0	0	0
719	0	0	0	0	0
720	2	2	0	0	0
721	0	0	0	0	0
722	0	0	0	0	0
723	1	1	0	0	0
724	0	0	0	0	0
725	0	0	0	0	0
726	1	1	0	0	0
727	0	0	0	0	0
728	0	0	0	0	0
729	0	0	0	0	0
730	0	0	0	0	0
731	0	0	0	0	0
732	1	1	0	0	0
733	1	1	0	0	0
734	3	2	1	0	0
735	2	2	0	0	0
736	0	0	0	0	0
737	1	1	0	0	0
738	1	1	0	0	0
739	1	1	0	0	0
740	0	0	0	0	0
741	2	0	2	0	0
742	1	1	0	0	0
743	0	0	0	0	0
744	0	0	0	0	0
745	0	0	0	0	0
746	0	0	0	0	0
747	1	1	0	0	0
748	0	0	0	0	0
749	0	0	0	0	0
750	0	0	0	0	0
751	1	1	0	0	0
752	0	0	0	0	0
753	0	0	0	0	0
754	0	0	0	0	0
755	1	1	0	0	0
756	1	1	0	0	0
757	0	0	0	0	0
758	0	0	0	0	0
759	0	0	0	0	0
760	0	0	0	0	0
761	0	0	0	0	0
762	3	2	1	0	0
763	0	0	0	0	0
764	0	0	0	0	0
765	0	0	0	0	0
766	0	0	0	0	0
767	0	0	0	0	0
768	0	0	0	0	0
769	0	0	0	0	0
770	0	0	0	0	0
771	0	0	0	0	0
772	0	0	0	0	0
773	1	1	0	0	0
774	0	0	0	0	0
775	0	0	0	0	0
776	1	1	0	0	0
777	0	0	0	0	0
778	0	0	0	0	0
779	0	0	0	0	0
780	0	0	0	0	0
781	0	0	0	0	0
782	0	0	0	0	0
783	1	1	0	0	0
784	0	0	0	0	0
785	0	0	0	0	0
786	0	0	0	0	0
787	1	1	0	0	0
788	2	2	0	0	0
789	0	0	0	0	0
790	1	1	0	0	0
791	1	1	0	0	0
792	0	0	0	0	0
793	1	1	0	0	0
794	1	1	0	0	0
795	1	1	0	0	0
796	0	0	0	0	0
797	0	0	0	0	0
798	1	1	0	0	0
799	2	2	0	0	0
800	1	1	0	0	0
801	0	0	0	0	0
802	1	0	1	0	0
803	1	1	0	0	0
804	2	2	0	0	0
805	0	0	0	0	0
806	1	1	0	0	0
807	1	1	0	0	0
808	1	1	0	0	0
809	0	0	0	0	0
810	1	1	0	0	0
811	2	1	1	0	0
812	0	0	0	0	0
813	0	0	0	0	0
814	0	0	0	0	0
815	0	0	0	0	0
816	0	0	0	0	0
817	1	1	0	0	0
818	0	0	0	0	0
819	1	1	0	0	0
820	1	1	0	0	0
821	1	1	0	0	0
822	0	0	0	0	0
823	1	0	1	0	0
824	0	0	0	0	0
825	0	0	0	0	0
826	0	0	0	0	0
827	1	1	0	0	0
828	1	1	0	0	0
829	0	0	0	0	0
830	0	0	0	0	0
831	1	1	0	0	0
832	0	0	0	0	0
833	0	0	0	0	0
834	0	0	0	0	0
835	0	0	0	0	0
836	0	0	0	0	0
837	1	0	1	0	0
838	1	1	0	0	0
839	0	0	0	0	0
840	1	1	0	0	0
841	0	0	0	0	0
842	0	0	0	0	0
843	1	0	1	0	0
844	0	0	0	0	0
845	3	2	1	0	0
846	0	0	0	0	0
847	0	0	0	0	0
848	2	1	1	0	0
849	0	0	0	0	0
850	0	0	0	0	0
851	0	0	0	0	0
852	1	1	0	0	0
853	0	0	0	0	0
854	1	1	0	0	0
855	0	0	0	0	0
856	0	0	0	0	0
857	2	2	0	0	0
858	0	0	0	0	0
859	0	0	0	0	0
860	1	1	0	0	0
861	0	0	0	0	0
862	2	2	0	0	0
863	0	0	0	0	0
864	0	0	0	0	0
865	1	1	0	0	0
866	1	1	0	0	0
867	0	0	0	0	0
868	1	1	0	0	0
869	0	0	0	0	0
870	1	0	1	0	0
871	1	1	0	0	0
872	0	0	0	0	0
873	1	1	0	0	0
874	2	2	0	0	0
875	0	0	0	0	0
876	1	1	0	0	0
877	0	0	0	0	0
878	0	0	0	0	0
879	2	2	0	0	0
880	0	0	0	0	0
881	0	0	0	0	0
882	0	0	0	0	0
883	1	1	0	0	0
884	0	0	0	0	0
885	1	1	0	0	0
